name,constellation,RA_deg,Dec_deg,magnitude,Distance_ly
* iot CrB,Corona Borealis,240.36068708333332,29.851060833333335,4.9710001945495605,114.02378536162644
* alf Crv,Corvus,182.10340499999998,-24.728875555555554,4.010000228881836,14.976875703913159
* del Crv,Corvus,187.46606291666666,-16.515431111111113,2.940000057220459,26.27430373095113
* gam Crv,Corvus,183.95154499999998,-17.54193027777778,2.5799999237060547,47.103155911446066
* bet Crv,Corvus,188.5968120833333,-23.39676,2.640000104904175,45.44442374198474
* eps Crv,Corvus,182.53116874999995,-22.619766944444446,2.9800000190734863,94.35386473429952
* zet Crt,Crater,176.19073291666663,-18.350676111111113,4.705999851226807,105.13809889289581
* bet Crt,Hydra,167.91449458333332,-22.825847777777778,4.448999881744385,97.04686393059208
* alf Crt,Hydra,164.9436045833333,-18.298786111111113,4.070000171661377,49.09348873058966
* tet Crt,Crater,174.17045499999998,-9.802222500000001,4.672999858856201,92.1633503221109
* gam Crt,Crater,171.220515,-17.684011666666667,4.059999942779541,26.520626417195974
* eta Crt,Crater,179.00397541666663,-17.150824444444442,5.159999847412109,76.8787238131847
* del Crt,Crater,169.8351970833333,-14.778539722222224,3.559999942779541,58.76476464711759
* eps Crt,Crater,171.15246333333332,-10.859326388888888,4.802000045776367,122.27928588897039
* del Cru,Crux,183.78632666666664,-58.74892388888889,2.752000093460083,139.50698232446535
* alf01 Cru,Crux,186.64956666666666,-63.099091666666666,1.2799999713897705,NaN
* gam Cru,Crux,187.79149833333332,-57.113213333333334,1.6399999856948853,27.15177844148792
* bet Cru,Crux,191.93028624999997,-59.68877194444444,1.25,85.39709649871904
* alf02 CVn,Canes Venatici,194.00693958333332,38.31837638888889,2.880000114440918,30.55982544227707
* bet CVn,Canes Venatici,188.43560083333332,41.35747805555555,4.25,8.47266633114908
* gam Cyg,Cygnus,305.5570908333333,40.25667888888889,2.2300000190734863,561.7977528089888
* omi02 Cyg,Cygnus,303.86801749999995,47.71422583333334,3.9800000190734863,307.1441734750292
* kap Cyg,Cygnus,289.27570125,53.36845805555556,3.759999990463257,37.756793391050884
* nu. Cyg,Cygnus,314.29341124999996,41.16713083333333,3.940000057220459,125.67866478986527
* bet Cyg A,Cygnus,292.68031499999995,27.95967361111111,3.0799999237060547,111.33873697336777
* alf Cyg,Cygnus,310.3579795833333,45.28033861111111,1.25,432.9004329004329
* del Cyg,Cygnus,296.24365375,45.13081444444445,2.869999885559082,47.28713695300604
* eps Cyg,Cygnus,311.55280083333327,33.970328333333335,2.4800000190734863,23.16053259960766
* zet Cyg,Cygnus,318.23410791666663,30.22689861111111,3.2100000381469727,45.84422133590061
* iot Cyg,Cygnus,292.4264925,51.72977777777778,3.755000114440918,37.54275180862207
* bet Del,Delphinus,309.3872554166666,14.595088611111112,3.630000114440918,30.93102381688834
* eps Del,Delphinus,308.30321999999995,11.303266111111112,4.03000020980835,112.17175739492312
* gam02 Del,Delphinus,311.66458249999994,16.12429388888889,4.25,35.54178114082009
* alf Del,Delphinus,309.90949833333326,15.91216,3.799999952316284,72.8342728954537
* del Del,Delphinus,310.8647229166666,15.07457861111111,4.416999816894531,67.65487893159415
* alf Dor,Dorado,68.49907124999999,-55.044978888888885,3.2799999713897705,51.70630816959669
* bet Dor,Dorado,83.40631624999999,-62.489826666666666,3.759999990463257,341.20376688958646
* zet Dor,Dorado,76.37773166666666,-57.472704444444446,4.708000183105469,11.692719995603536
* gam Dor,Dorado,64.00661083333331,-51.486647777777776,4.199999809265137,20.429259602773477
* del Dor,Dorado,86.19320791666667,-65.73549805555555,4.360000133514404,45.7205559619605
HD  40409,Dorado,88.52522708333332,-63.08978027777778,4.659999847412109,27.323822821403294
* zet Dra,Draco,257.1966154166666,65.71464527777778,3.1700000762939453,127.75634310243504
* eps Dra,Draco,297.0431266666667,70.26793027777778,3.9100000858306885,46.90013554139171
* tet Dra,Draco,240.47227041666662,58.56525027777778,4.0,21.52088063443556
* iot Dra,Draco,231.2323908333333,58.96606583333334,3.2899999618530273,30.74662017777696
* alf Dra,Draco,211.09732291666663,64.37586944444443,3.680000066757202,79.90028444501263
* chi Dra,Draco,275.26409375000003,72.7328475,3.5799999237060547,8.057368463459834
* nu.02 Dra,Draco,263.06684375,55.172918055555556,NaN,29.923366259010674
* kap Dra,Draco,188.3705970833333,69.78823861111111,3.890000104904175,142.66759876164525
* eta Dra,Draco,245.9978595833333,61.51420972222222,2.740000009536743,27.998420889061858
* gam Dra,Draco,269.1515408333333,51.48889555555556,2.2300000190734863,47.30368968779565
* phi Dra,Draco,275.1893008333333,71.33781916666666,4.21999979019165,92.85051067780873
* del Dra,Draco,288.13875541666664,67.66153861111111,3.069999933242798,29.985097406588928
* bet Dra,Draco,262.6081733333333,52.30138861111111,2.809999942779541,116.55011655011656
* lam Dra,Draco,172.85092333333333,69.33107555555556,3.8499999046325684,115.66309653242037
* ksi Dra,Draco,268.38220624999997,56.87264166666667,3.75,34.41120704190941
* del Equ,Equuleus,318.62006375,10.006979166666667,4.489999771118164,18.487705675725643
* alf Equ,Equuleus,318.95598791666663,5.2478919444444445,3.933000087738037,58.14460563421229
* gam Equ,Equuleus,317.5854166666666,10.131580833333334,4.679999828338623,35.40662741251907
* eta Eri,Eridanus,44.10687166666666,-8.898143333333334,3.869999885559082,41.291942290381456
* tau09 Eri,Eridanus,59.98118208333332,-24.016215833333334,4.659999847412109,100.26168299261072
* tau01 Eri,Eridanus,41.27582833333333,-18.572622777777777,4.460000038146973,14.27635307705376
* d Eri,Eridanus,65.17847541666666,-7.592495833333333,5.8379998207092285,264.8094695866324
* tau06 Eri,Eridanus,56.712030416666664,-23.24972277777778,4.199999809265137,17.784701955072286
* ups04 Eri,Eridanus,64.47359333333331,-33.79834777777778,3.559999942779541,54.347235356137425
* e Eri,Eridanus,49.98187874999999,-43.06978194444445,4.269999980926514,6.041412675608763
* tet01 Eri,Eridanus,44.565317916666665,-40.3046775,3.180000066757202,50.23939069666964
* chi Eri,Eridanus,28.98941541666666,-51.6088775,3.7100000381469727,17.589901989066117
* eps Eri,Eridanus,53.23268499999999,-9.458260833333332,3.7300000190734863,3.2198103338524744
* gam Eri,Eridanus,59.5073575,-13.508514722222221,2.940000057220459,58.8179936006023
* kap Eri,Eridanus,36.74634208333333,-47.70384055555556,4.25,161.15516018822925
* omi01 Eri,Eridanus,62.9664125,-6.837579444444444,4.026000022888184,38.29994216708733
* s Eri,Eridanus,39.94989708333333,-42.89181083333333,4.75,44.31916892694428
* mu. Eri,Eridanus,71.37563083333333,-3.254659722222222,4.0,172.04301075268816
* bet Eri,Eridanus,76.96239499999999,-5.086496944444444,2.7899999618530273,27.589555697795042
* y Eri,Eridanus,54.27365833333332,-40.27466027777778,4.579999923706055,75.5943606606947
* tau08 Eri,Eridanus,58.42792624999999,-24.61222805555556,4.623000144958496,100.41672942712255
* ups01 Eri,Eridanus,68.37730083333332,-29.766491666666667,4.510000228881836,38.41883444940047
* tau03 Eri,Eridanus,45.59791375,-23.62447166666667,4.090000152587891,27.06345297183777
* alf Eri,Eridanus,24.428522499999996,-57.23675277777778,0.46000000834465027,42.75331338178709
* g Eri,Eridanus,57.36352583333333,-36.20025666666667,4.170000076293945,66.76414231444576
* iot Eri,Eridanus,40.16681166666666,-39.85537638888889,4.116000175476074,44.87262904246297
* pi. Eri,Eridanus,56.53556333333332,-12.101588333333334,4.420000076293945,156.38928420624617
* nu. Eri,Eridanus,69.07975791666665,-3.352460277777778,3.927999973297119,208.50274181105482
* tau05 Eri,Eridanus,53.44698249999999,-21.632884444444446,4.25,98.12290875550715
* tau04 Eri,Eridanus,49.87916916666666,-21.75786527777778,3.700000047683716,94.20364944937967
* del Eri,Eridanus,55.81208541666666,-9.763391666666667,3.5399999618530273,9.088810401961728
* pi. Cet,Eridanus,41.03061541666666,-13.858688611111111,4.236000061035156,119.0164480731237
* ups02 Eri,Eridanus,68.88765791666665,-30.562341944444444,3.819999933242798,64.72450016504747
* nu. For,Fornax,31.122689583333333,-29.296804444444447,4.690000057220459,106.34451368653892
* alf For,Fornax,48.01887416666666,-28.987621944444445,3.9800000190734863,13.998994872168177
* bet For,Fornax,42.272578749999994,-32.405897777777774,4.460000038146973,54.172354763916886
